
Tue Aug 25 21:14:33 +05 2020
===============================================
POS	Total	Clean	With @	With #	Clean %
vaux	802308	174088	401154	227066	21.7
v	754412	147538	377206	229668	19.56
prn	225584	34719	113984	76881	15.4
num	210748	109368	39292	62088	51.9
cnjcoo	62154	20490	21855	19809	32.97
n	48166	12366	34800	1000	25.68
post	24736	5060	11884	7792	20.46
adv	9745	1	9600	144	0.02
adj	2134	2118	0	16	99.25
det	53	3	48	2	5.67
cnjsub	44	0	42	2	0
np	0	0	0	0	100
ij	0	0	0	0	100
guio	0	0	0	0	100
cm	0	0	0	0	100
===============================================
